,Comment
0,"Thấy nhiều bạn hỏi bài nhạc mình cho các bạn tên bài luôn nha:
1.  Moonlight sonata-beethoven
2. Epic legend
3. Breath and life"
1,"Hay xem lại cái này để nhớ lại những gì Bùi Tiến Dũng đã làm cho Việt Nam 
Đừng vì một lỗi sai mà quay lưng lại với thủ môn của chúng ta
Chán khi thấy mọi người gọi anh là thằng này đứa nọ"
2,Ông Cương vs ông Cường bình luận đến ném biên bên sân nhà  cũng hồi hộp =))
3,"xem đi xem lại vẫn thấy tự hào về đất nước xinh đẹp mang tên Việt Nam. I want to say, I love Việt Nam"
4,"Xem lại biết bao lần mà cảm xúc vẫn dâng trào như ngày nào luôn, cảm ơn ad đã chia sẻ"
5,Xem lại vừa nổi da gà vừa rơi nước mắt ️
6,"04/12/2019 
Khi xem lại thì vẫn không thể giấu đi được cảm xúc, chính nhờ lứa U23 này đã khiến tôi có niềm tin hơn vào nền bóng đá VN. Và bây giờ đang là Sea Games 30 tôi mong U22 VN cũng sẽ làm rạng danh đất nước. Cảm ơn các bạn thật nhiều "
7,"Ai vừa xem lại khi Việt Nam vào chung kết AFF không, cảm xúc vẫn ùa về như vừa xem trực tiếp xong."
8,Xem mà nổi hết da gà tự hào và xúc động quá Việt Nam ơiiiiiiiii ️️️️️
9,"Cám ơn Park Hangseo đã đến với Việt Nam, cám ơn ông đã huấn luyện đúng cách cho những con người thật sự có tài năng kia để họ có thể bộc lộ được hết tài năng ẩn sau trong họ, để giờ đây họ có thể toả sáng trên sân bóng một cách đúng nghĩa . Một lần nữa cảm ơn ông rất nhiều ️🇻🇳🇻🇳🇻🇳"
10,Rất chân thành cảm ơn HLV Park Hang Seo️🇻🇳🇰🇷
11,"10/12/2019 tấm HCV Seagame 30 với thành tích bất bại sau 60 năm chờ đợi, tôi đã xem lại tất cả hành trình hơn 2 năm và nước mắt tôi vẫn rơi. 
Ngàn vạn lời cảm ơn chân thành xin gởi đến HLV Park Hang Seo (thầy Park của bóng đá VN)"
12,"Dù đội tuyển hiện giờ có như nào đi nữa.. nhưng ai cũng nhớ vào những ngày tháng năm đó.. có 1 u23 Việt Nam.....,,!!!"
13,"Sau này ai nhắc lại Thường Châu
Tuyết trắng sương pha bạc mái đầu 
Mười mấy dũng sĩ lao ngược gió 
Để đời kính phục mãi về sau. "
14,Xem lại vẫn nổi da gà tự hào quá Việt Nam ơi️️
15,"Có ai còn xem lại và nổi da gà như mình không. Quá đỗi tự hào. Cảm ơn HLV Pak Hang Seo, cảm ơn đội tuyển Việt Nam "
16,Xem lại mà cảm xúc vẫn lâng lâng. Đây chắc chắn là lịch sử của bóng đá Việt Nam 
17,"Xem lại vẫn xúc động 
Những cảm xúc của các trận đấu u23 châu á thật tuyệt vời ️"
18,Cảm xúc vẫn ngọt ngào như năm nào. Nước mắt đã rơi khi vào chung kết
19,"Xem lại mà vẫn ngập tràn cảm xúc thật sự xúc động... 
Cảm ơn các cầu thủ U23 Việt Nam đã thi đấu hết mình,  đã đem đến những trận đấu tuyệt vời, những khoảnh khắc cảm xúc không bao giờ quên... Cảm ơn U23 đã gắn kết mọi người gần nhau hơn, đã đem đến niềm vui cho người hâm mộ,  niềm tự hào tự tôn dân tộc, mang vinh quang về cho nước nhà... Cảm ơn U23 Việt Nam vì tất cả ... Mãi yêu U23 Việt Nam  "
20,Xem lại vẫn thấy xúc động... từ hậu vệ trung vệ tiền vệ đến tiền đạo thủ môn.. mỗi cá nhân đều rất xuất sắc tạo nên thành công cho 1 tập thể đoàn kết ! Việt Nam in my heart !
21,clip đã thật sự làm mình xúc động trước sự cố gắng và thành tích của U23 Việt Nam và HLV Park 
22,Tôi nhớ lứa cầu thủ này quá. Họ đoàn kết như 1 gia đình ️
23,đây lần thứ n mình xem mà xem xong cảm xúc mình vẫn nghẹn ngào như ngày nào 
24,Xem lại giải U23 châu Á năm đó thật sự quá xúc động. Nhửng chàng trai quá bãn lĩnh và mạnh mẽ ️️️
25,Mỗi lần xem lại đều rơi nước mắt.. quá cảm xúc vì những gì u23 VN đã mang lại.
26,"Thực sự là những năm trước mình ko hề để tâm đến bóng đá Việt Nam, vì lag con gái nữa. Nhưng từ khi xem U23 Việt Nam ở đợt đá đầu năm 2018, tớ đã thực sự yêu đội tuyển VN. Thậm chí là xem đi xem lại những video ntn rất nhiều lần, cảm giác như vừa mới đây thôi. Cho đến giải AFF cup hiện tại. Mong rằng VN sẽ thắng Malaysia trong chung kết. Yêu ️"
27,"Xem lại mk rất xúc động khi nghe thấy những câu hò Vào......
Mong rằng đội tuyển Việt Nam ngày càng tiến tới những kì tích vĩ đại để làm nên lịch sử cho dân tộc."
28,"Tôi xem đi xem lại nhiều lần nhưng vẫn rơi nước mắt trước các trận đấu của U23 VIỆT Nam.
Việt Nam vô địch"
29,"Xem đi xem lại k chán, muôn ngàn lần cám ơn bầu Đức, thầy Park, và các chàng trai vàng của đội tuyển VN, lồng nhạc quá hay luôn"
30,30/11/2019 xem lại vẫn nghẹn ngào như ngày nào.chỉ tiếc mình k vô địch u23.k phải vì mình yếu mà mình thiếu may mắn và thời tiết nghiêng về đội kia
31,Xem cứ bị nổi da gà liên tục ấy ️️ bao nhiêu cảm xúc ️ xem đi xem lại bao lần mà vẫn xúc động quá
32,"6-12-2018 tôi vẫn đang xem. Vẫn luôn dỏi theo đội tuyển việt nam tuyệt vời của chúng ta
 Cố lên vào trung kết AFF 
Tôi củng như toàn thể người dân Việt Nam cầu mong các bạn sẽ lm nên lịch sữ tiếp theo
Lấy cúp nhé các bạn.  Chúng tôi chờ lâu lắm rồi"
33,Cảm ơn AD đã làm video này . Nó sẽ mãi2 đi vào lịch sử bóng đá VN. I LOVE VN
34,"Chỉ với trái bóng thôi mà sao nhiều cảm xúc đến vậy,có lẽ k chỉ là đam mê nhiệt huyết mà là cả tinh thần yêu nước,niềm tự hào dân tộc! Victory️"
35,"CHỈ 1 THÁNG NỮA THÔI, MONG RẰNG U23 SẼ TÁI LẬP KÌ TÍCH, THAM DỰ OLYMPIC TOKYO 2020. TÔI TIN VIỆT NAM CÓ THỂ"
36,"Á Quân U23 Châu Á 2018
Top 4 đội mạnh nhất Asiad Games 2018
Vô Địch AFF CUP 2018
Top 8 đội mạnh nhất Asian Cup 2019"
37,"Mỗi lần xem lại là 1 lần chảy nước mắt.
tuyệt vời quá Việt Nam."
38,"Cảm xúc vẫn còn nguyên vẹn... sau bao thất vọng dồn vào segame nhất là sau trận thua thái, có lẽ ko nhiều người còn quan tâm u23 ở giải đấu này nữa...cảm xúc của biết bao người yêu bóng đá VN chính là thất vọng, ko nên hy vọng kỳ vọng nhiều để rồi lại buồn. Có lẽ khi vào giải nhiều ng chỉ xem VN đá như bản năng là có trận đấu của VN, bật tivi lên xem cho có, nhất là mấy trận đầu vòng bảng...kể cả trận 3 gặp Syria cũng ko kỳ vọng mấy...kỳ diệu thay chúng ta lại cứ thắng hoài, thắng 1 cách may mắn kỳ lạ, nỗ lực lại đc đền đáp như trong cổ tích vậy. Nhiều ng tới trận gặp Iraq mới chú ý (vì đơn giản chúng ta đã làm nên lịch sử khi qua vòng bảng) tâm lý chung là thua cũng đc...vậy mà tỷ số như mơ vậy, rồi bùng nổ thực sự ở trận gặp Quatar- thôi thì đến đây cũng là 1 kỳ tích rồi, vậy mà cổ tích lại đc viết tiếp....Tôi thực sự yêu cái không khí của người dân đất nước mình, lật đi lật lại xem những clip ăn mừng, cảm xúc hồi hộp rồi vỡ òa...đâu cần phải là người yêu bóng đá, cái tuyệt vời ở đây là tinh thần dân tộc, là niềm tự hào dân tộc, là màu đỏ của dân tộc."
39,"Bây h xem lại vẫn gớt nước mắt, cảm ơn thầy Park đã đến với Việt Nam, cảm ơn những gì mà thầy đã làm đc cho quốc gia Việt Nam"
40,"U23 tỏa sáng nhất là lúc ở trên sân cỏ, cùng nhau ghi chiến đấu cùng nhau ghi bàn, dù bị dẫn trước nhưng vẫn không nản lòng. Sân cỏ chính là sân khấu của họ, mỗi người tỏa sáng theo cách riêng của mình, không ai là ngôi sao cả ngôi sao duy nhất nằm bên ngực phải của họ. Tự hào quá Việt Nam ơi"
41,"13/1/2020 vừa xem trận Viet Nam - Jordan tối nay xong vào xem lại. Những kỉ niệm, những cái tên cả 1 thế hệ VN mãi mãi k bao giờ quên. Khi nào xem lại cũng thấy tự hào và xúc động. Mãi mãi !!"
42,"Seagame 30 vừa kết thúc ngày 11/12/2019 với tấm HCV cho ĐTVN.
ĐT U23 đang chuẩn bị cho VCK U23 Châu Á năm 2020.
Giờ tôi ngồi xem clip này vẫn xúc động rơi nước mắt. Có thể nói chiến thắng của U23 VN tại Thường Châu là cột mốc đánh dấu đi lên của nền BDVN."
43,"H đây xem lại, cảm xúc vẫn như vậy. Vẫn cứ lâng lâng, hồi hộp, mog chờ và hạnh phúc. Quả thật, vòng chung kết u23 châu Á năm 2018, đã đưa những ng yêu bóng đá Việt  Nam vào giấc mơ tuyệt đẹp. Dù chúng ta đã thất bại đáng tiếc và ko thể giành chức vô địch nhưng đó vẫn mãi là ký ức tuyệt đẹp của mỗi ng dân chúng ta. T sẽ lưu giữ lại những chiến tích đẹp đẽ đó mãi trog tim. Chiến tích Thường Châu năm ấy sẽ là những trang sử vàng của bóng đá. Mãi iu bóng đá vn. Sau này khi lớn lên, tôi sẽ kể cho con tôi nghe về câu chuyện cổ tích đã xảy ra ở Thường Châu năm ấy. Bóng đá Vn sẽ mãi trog tim và ký ức tôi. Camon các anh - những ng hùng ko bik mệt mỏi. Và camon người thuyền trưởng Park Hang Seo đã đưa con tàu bóng đá Vn cập đến những bến bờ thành công. Camon mng vì đã cho t những ký ức tốt đẹp. Xin camon rất nhìu"
44,"mình thật sự rất nhớ đội hình u23 Việt Nam lúc 2018 bấy giờ,quá suất xắc :(("
45,"khoảnh khắc ấy sẽ ko bao giờ quên được,, tôi đã từng rơi nước mắt khi xem lại hành trình u23 việt nam"
46,"Bạn này biên tập hay, chọn nhạc phù hợp, bi tráng đúng lúc, giúp người xem trải qua các cung bậc cảm xúc khác nhau, theo đúng trình tự thời gian trong lịch sử. Bố cục câu chuyện khúc chiết, rõ ràng, vừa đủ, ko thừa. Những khoảng lặng cần thiết để chuyển sang giai đoạn hùng tráng."
47,"22\11\2019 ,xem lại vẫn rưng rưng nước mắt các bạn ak, mình yêu đất nước việt nam,mình yêu các em u23"
48,- 14-5-2020 tôi xem lại video này . ôi cảm xúc vẫn như ngày nào . thật tự hào khi là người VN 🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳
49,HLV Park Hang Seo đúng người anh hùng đưa Việt Nam chúng ta ra vinh quang
50,Xem clip này mà khóc. Xúc động. Tự hào. Vui sướng tràn đầy khi nhìn lại con đường các anh đi đã qua....
51,Xem nghìn lần vẫn tràn đầy cảm xúc tự hào biết bao hai chữ việt nam cám ơn HLV cám ơn các cầu thủ đã làm lên chiến tích
52,15/12 Việt Nam vô địch AFF cup tôi lại xem video này. Quá xúc động. Những hình ảnh đẹp này sẽ k bao giờ quên trong lòng tôi. Cảm ơn những người hùng của Việt Nam. Niềm tự hào của những người yêu bóng đá nước nhà.
53,"Nước mắt ko thể ngừng rơi đc, tôi ko biết từ bh mình đã thích bóng đá Việt Nam, h phải tự nói trong lòng rằng yêu lắm VN ơi "
54,Tròn hai năm chúng ta lập kì tích tại Thường Châu hôm nay chúng ta đã bị loại từ vòng bảng chính giải đấu đó. Mặc dù hơi buồn nhưng bóng đá mà có thắng thì cũng phải có thuaMong đội tuyển chúng ta vượt qua nỗi buồn và trở lại mạnh mẽ hơn
55,Sau hơn 3 năm qay lại xem vẫn cảm xúc nảo nề rạo rực . Mún đc như ngày đó nhưng tiếc vì dịch COVID 19 và những trận bóng đá bây h của đội tuyển không còn tinh thần xuất sắc như 3 năm trước nữa nhưng vẫn hi vọng trong tương lai mong đội tuyển cho nhm bóng đá Việt Nam thấy những điều kì tích mới trong năm 2022 . Cố lên Việt Nam 🇻🇳🇻🇳🇻🇳
56,"2019 Việt Nam hiện thực hóa giấc mơ HCV Seagames
tuyệt vời hơn khi cả bóng đá nữ và nam đều chiếm lĩnh 2 tấm huy chương của môn thể thao vua
what a year"
57,Hôm nay ngày 01/01/2020 tôi lại xem lại tất cả các khoảnh khắc tuyệt vời của Đội tuyển nước nhà ! Vẫn cảm động quá !
58,"30-9-2019 k biết đã xem bao nhiêu lần rồi , nhưng lần nào xem khoé mắt vẫn cay . Cảm ơn Thầy Park , cảm ơn U23 . Tự hào về các bạn"
59,"Lần nào xem cũng khóc , tự hào quá Việt Nam🇻🇳🇻🇳🇻🇳"
60,Em cảm ơn thầy Park  đã dìu dắt u23 VN đến vinh quang. Giúp u23 làm nên lịch sử. Cảm ơn các cầu thủ của VN. Các bạn là niềm tự hào của tổ Quốc VN
61,Xem lại nước mắt vẫn rơi.... Tự hào việt nam ơi 
62,Hôm nay. 5/12/2019 lại khóc. Đù má. Xúc động đến rơi nước mắt. Thầy trò tuyệt vời
63,"xem lại vẫn thấy rưng rưng , cám ơn các cầu thủ vàng , cảm ơn thầy Park"
64,xin cảm ơn ông park xin cảm ơn nước bạn Trung Quốc vì đã tạo Ra mặt sân vận động có thảm cỏ đẹp để các câu thủ của chúng tôi Việt Nam tạo nên lát cắt lịch sử
65,13-12-2019 vẫn xem và cảm xúc vẫn như ban đầu 🇻🇳
66,"cái clip này nên lưu truyền qua đời sau đi,  thật đấy vì nó quá đỉnh"
67,"Xem viedeo này hơn 10 lần rồi mà bh xem lại cảm xúc vẫn như ngày đầu 
NÀY mấy anh của đội tuyển U23 Việt Nam ơi Em Yêu Tất Cả Các Anh DDĐTĐHLHT"
68,2022 rồi xem lại vẫn nổi da gà  luôn ủng hộ bóng đá Việt Nam <3
69,Có Ai từ Seagame qua đây k? :)) Tôi có 1 cảm giác năm nay  Việt Nam vô địch Seagame các bác ạ!!!
70,Xem lại vẫn nổi da gà tự hào quá Việt Nam ơi
71,"Bóng đá Việt Nam ngày càng khẳng định vị trí của mình ở ĐNA và nhất là vào trận chung kết ngày 10/12/2019 với Indonesia :33
tự hào quá VIỆT NAM ơi !"
72,"Lứa cầu thủ này thực sự tài năng. Điều quan trọng để phát huy đc hết tiềm năng vốn có của các em ấy là có một “người dẫn đường”. Và ông Park đã làm đc điều ấy. Sau 5 tháng kể từ Sea Games, tôi ko còn nhìn thấy sự ngại ngùng, rụt rè của các em nữa, mà thay vào đó là sự tự tin khi cầm bóng, sự phối hợp ăn ý của toàn đội.
Các em đã khơi lại tình yêu với bóng đá VN của rất nhiều người. Cảm ơn các em rất nhiều, những chiến binh áo đỏ "
73,Mình xem clip này thật sự rất rất nhiều lầnnnn và cảm súc vẫn luôn trọn vẹn như lúc đầu
74,"Cho đến hôm nay 10/12/2019, Việt Nam vô địch Seagame sau bao năm chờ đợi, cũng thật xúc động, nhưng không hiểu sao vẫn không vui mừng bằng đợt U23 Châu Á này, vẫn cứ nhớ mãi. Đúng là cái gì là khởi đầu, càng khó khăn thì càng trân trọng và nhớ mãi. Nước mắt vẫn có thể chảy ra được vì nhớ. Vẫn cứ là Chúc mừng bóng đá Việt Nam vô địch Seagame 2019 ️"
75,"Hôm nay, ngày 12/12/2019, Sea Game 30 vừa khép lại cách ngày 11/10/2017 -  ngày Park Hang seo đến Việt Nam -  2 năm 2 tháng , Chúng ta đã có: 
1/ Đội tuyển U23 - Á quân VCK U23 Châu Á tại Thường Châu Trung Quốc 
2/ Đội tuyển Olympic bóng đá nam:  Lọt vào bán kết - top 4 đội mạnh nhất ASIAD 2018 tại Indonesia - chấp nhận thua UAE trận tranh hạng 3 trên chấm luân lưu may rủi."
76,"Cảm giác xem trận Qatar là dâng trào nhất luôn, đánh bại 1 ông lớn đại gia đã coi thường đội nhỏ như VN ta. Tuyệt vời dã man."
77,"Và hôm nay :""> Việt Nam 1 lần nữa viết nên lịch sử :"">
P/s: Nhiều like vcc :""<"
78,"hqua VN mới thua Nhật Bản vì một quả pen, t lại vô xem clip này
dù có bao nhiêu trận đấu hay hoặc chiến thắng nhưng t vẫn thích cái cảm xúc này nhất.
người già hòa chung với thanh niên 
90M người dân làm một "
79,Sea game 2019 Việt Nam sẽ phục thù. Hnay xem vẫn còn xúc động
80,Giải u23 châu á lần này đội vn chiến đấu như các chiến binh. Xem đi xem lại vẫn xúc động.
81,"Coi lại 10 lần vẫn rơi nước mắt, quá hạnh phúc "
82,thực sự phải cảm ơn HLV  Park Hang Seo của chúng ta
83,Thầy park đã đi vào huyền thoại lịch sử bóng đá Việt Nam. ️️Tôi Yêu Thầy và Yêu ĐTVN
84,nghỉ dịch ở nhà xem lại cảm thấy tự hào quá Việt nam ơi. Không bao giờ bỏ cuộc
85,"Xem lại vẫn rơi nước mắt... Khó quên,không thể quên những  cảm xúc mà đội bóng chúng ta đã mang lại."
86,lúc nào xem cũng nổi hết da gà với lạnh cả sống lưng  họ là những người hùng  một hành trình from zero to hero 
87,"Trước trận chung kết Sea Game năm nay, có ai xem lai mà thấy xúc động rơm rớm nước mắt như tui ko. Mong sẽ là 1 cái kết đẹp, chúng ta sẽ lại dc hoà chung không khí ăn mừng , cả đất nước cùng chung 1 nhịp đập 1 lần nữa ️"
88,Sea Games 30 Việt Nam đã đi lên vô địch...Huy chương vàng Love Việt Nam 🇻🇳
89,VCK U23 Châu Á-Thường Châu 2018 sẽ là một ký ức sẽ không bao giờ phai mờ trong tim của mỗi người dân  Việt Nam!
90,24/11 xem lại và rơi nước mắt vì quá cảm xúc và tự hào 🇻🇳🇻🇳🇻🇳
91,16/12/2019 xem lại nỗi da gà muốn khóc hết sức 2 anh này bình luận truyền cảm quá
92,"Viet nam vào trung kết AFF rồi những vẫn phải xem lại cái này , Quá xúc động !!!"
93,cảm ơn bầu đức người hùng âm thầm của bóng đá việt nam
94,Xem lại mà mắt vẫn rưng rưng. Tự hào 2 tiếng Việt Nam 🇻🇳🇻🇳🇻🇳🇻🇳
95,Hôm nay xem lại vẫn tự hào rưng rưng nước mắt luôn ️🇻🇳🇻🇳
96,Nước mắt tôi vẫn không thể ngừng rơi khi xem lại video này 
97,"Mỗi lần xem lại những khoảnh khắc này nước mắt đều rơi. Lòng tự hào, tự tôn dân tộc trỗi dậy mạnh mẽ . Dù đang ngồi xe bus, đang đi tàu điện ngầm , đang làm gì cũng rớt nước mắt . Có lẽ đây sẽ là những hình ảnh đẹp nhất của bóng đá nước nhà mãi đọng lại trong tim tôi. Vẫn biết và hi vọng về một ngày màu bóng đá Việt Nam sẽ chuyển mình và vươn lên mạnh mẽ hơn, sẽ tham gia WC nhưng đây sẽ là thước phim mà tôi thấy thêm yêu bóng đá nước nhà hơn. Cố lên những chiến binh áo đỏ, những người hùng sân cỏ. Các anh hãy vì màu cơ trên ngực áo, hậu phương phía sau sẽ có hơn 90 triệu dân dõi theo .2020.05.02"
98,Và bây giờ thì chẳng còn ai dám nghi ngờ khả năng của đội tuyển Việt Nam cũng như ông Park nữa . Vô địch AFF 2018 cũng là một lời khẳng định về thế hệ vàng của bóng đá nước nha . Quá tuyệt vời Việt Nam ơiii
99,Xem lại vẫn quá nhiều cảm xúc ️
100,"Vẫn lứa cầu thủ ấy, con người ấy họ đã đi từ thất bại đến thành công. ""U23 không có ngôi sao. Ngôi sao duy nhất chúng tôi có là nằm bên ngực trái"" cảm ơn đội trưởng mẫu mực Xuân Trường. Cảm ơn tất cả các chàng trai của u23 Việt Nam đã cống hiến hết mình. Đã dành cho NHM những cảm xúc tuyệt vời nhất 
5/9/2018"
101,Cảm ơn vì ông đã đến với bóng đá Việt Nam Park hang seo !
102,"Lỗ lực dành lại chiến thắng cho vn
Cũng nhờ các anh hùng u22 vn
Những giọt nước mắt tràn đầy niêm vui và những chấn thương để lại cho các cầu thủ vì vn là Vô địch 
Kể cả thời tiết có lạnh bao nhiêu nhưng các anh hùng của chúng ta vẫn lỗ lực mang lại những bàn thắng cho vn người dân chúng ta chỉ biết khóc vì niềm vui và xúc động những tiếng cười, la , hét  tất cả đều là VN VÔ ĐỊCH"
103,1 tháng nữa thôi !! mong rằng u23 vn sẽ lại lập nên kì tích như cách  họ đã từng làm 2 năm về trc  toii tin u23 VietNam 🇻🇳
104,Mình đã xem đi xem lại rất nhiều lần. Quá cảm động!!!Chúng ta đã đứng dậy và làm lại tất cả cùng với người thầy tuyệt vời của bóng đá VN-Park Hang Seo. Tinh thần quyết chiến và quả cảm của các anh đã nói lên tất cả. Thực sự ghi nhận và cảm ơn tất cả những gì các anh đã làm và hi sinh cho đội tuyển Việt Nam.🇻🇳🇻🇳
105,Xem lại bao lần mà vẫn thấy xúc động và tự hào!
106,Trông chờ aff cúp sẽ rực lửa như vòng chung kết U23. Có cúp nữa sẽ là một năm thành công của bóng đá VN. Một lối bóng đá không khuất phục chiến đấu hết mình.  Không như trước kia cứ bị ghi bàn là xuống tinh thần hoàn toàn và không thể thắng nổi. Chúc đội tuyển VN sẽ thành công
107,10-5-2020....xem lại vẫn rơi lệ....cảm giác vẫn như 2 năm trước...tuyệt vời ...
108,"23th December 2019 , tôi  đã  xem video này vài chục lần , lần  nào  cũng cảm  xúc . Mong rằng U23 châu  A 2020 tại Thailand chúng  ta sẽ  lại có  dc những  cảm  xúc  này  . Cám  ơn người  đã  làm video này "
109,"Tròn 2 năm kể từ U23 khi Việt Nam vào chung kết, cảm xúc ngày ấy vẫn còn nguyên vẹn"
110,"VN từng bước bóng đá bước ra đá tay đôi với các đội mạnh Châu Á rồi. Chúc mừng đội bóng đá VN. Hiện nay VN đã không còn chưa đá đã thua như trước năm 2018 nữa.
Tôi đã xem lại bóng đá VN từ sau năm 2018."
111,"14.6.2021 - Trái tim vẫn rung lên bởi cung bậc cảm xúc này, vẫn như ngày đầu."
112,Chúng ta đã có thể đưa Việt Nam ngang tầm với thế giới bằng rất nhiều cách khác nhau và đây là cách để các cầu thủ trẻ của chúng ta khẳng định rằng Việt Nam xứng tầm với thế giới. Chỉ có một câu để diễn tả là. TỰ HÀO QUÁ VIỆT NAM ƠI !!! 🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳
113,trận chung kết màu cờ sắc áo đã chiếm lấy cả khung cảnh đầy tuyết..... tự hào quả Vn ơiiiii
114,Coi hết video vẫn còn tràn đầy cảm xúc 
115,Chiến thắng sea game 2019🇻🇳🇻🇳
116,Thực sự xem lại u23 châu á vẫn cảm xúc thật 
117,Việt Nam vô địch SeaGame 2019 rồi nha mn🇻🇳🇻🇳🇻🇳
118,"Đó là một cuộc hành trình đầy kì diệu. Một giải đấu quá bất ngờ và xúc động mà trong cuộc đời mình từng bao nhiêu lần mơ ước được chứng kiến.
Và năm ấy, năm 2018, thầy Park đã viết giấc mơ thành sự thật. Đưa một đám tàn quân seagame lên đỉnh vinh quang, mang toàn bộ người hâm mộ nuơsc nhà đặt lên đỉnh mây trời."
